respId,marketCubeId,zip,age,gender,ethnicity,targetId,targetConstruct,targetIntensity,constructImage,constructImagePosition,foilImage,foilConstruct,foilIntensity,foilImagePosition,userSelection,correct,answerBreakdown,numResponses,percentCorrect,count
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,1,Frustration,1.0,Frustration_1.0,2,Relief_1.0,Relief,1.0,0,2,1,1,16,0.8125,1
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,1,Frustration,1.0,Frustration_1.0,0,Regret_1.0,Regret,1.0,2,0,1,1,16,0.5,1
 8,058d864d-8c6d-4484-9225-0ed675bfdff1,97215,60,2,1,1,Contempt,1.0,Contempt_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.6875,1
 9,2e8f7ab0-809c-4e73-b3fc-dad89ec863ab,48219,21,2,1,1,Contempt,0.2,Contempt_0.2,2,Love_0.2,Love,0.2,0,0,0,0,16,0.1875,1
 10,636a1cbb-128c-480c-92be-2ec8636771a4,11375,30,1,1,1,Frustration,1.0,Frustration_1.0,2,Regret_1.0,Regret,1.0,0,2,1,1,16,0.5,1
 11,53db867c-a566-46cf-9f8f-7f596532eaf5,17011,29,2,1,1,Pride,0.2,Pride_0.2,0,Relief_0.2,Relief,0.2,2,1,0,2,16,0.5625,1
 12,9892d935-9dfd-4350-bc8a-8c7b0d0f8891,90001,37,1,1,1,Regret,0.2,Regret_0.2,0,Contempt_0.2,Contempt,0.2,2,2,0,0,18,0.6111111111,1
 13,59797bdd-5cf7-4c2c-b520-f4d83a6ff54e,33704,39,1,1,1,Pride,0.2,Pride_0.2,2,Relief_0.2,Relief,0.2,0,1,0,2,16,0.625,1
 14,7de49dd3-1059-4628-90c3-017cc15d9b07,85128,65,2,1,1,Pride,1.0,Pride_1.0,0,Frustration_1.0,Frustration,1.0,2,1,0,2,16,0.375,1
 15,1ed610b0-b490-42f7-a465-dc5ab083f3c1,2324,32,2,1,1,Pride,1.0,Pride_1.0,2,Contempt_1.0,Contempt,1.0,0,2,1,1,16,0.625,1
 16,84e8bf40-53d6-488f-ba53-1ce126f37ec9,90280,50,2,5,1,Relief,0.2,Relief_0.2,0,Pride_0.2,Pride,0.2,2,1,0,2,16,0.5625,1
 17,8782d6f1-31cc-4c8a-b47d-9e1239a44428,55318,22,1,1,1,Dislike,0.2,Dislike_0.2,0,Distress_0.2,Distress,0.2,2,0,1,1,16,0.625,1
 18,09b9a4f8-69d2-44ae-984e-57c2428921da,36111,22,2,1,1,Dislike,0.2,Dislike_0.2,2,Regret_0.2,Regret,0.2,0,2,1,1,16,0.75,1
